Indicator,IndicatorCode,IndicatorRaw,Measure,Source,Group
"PPG, bilateral concessional (DIS, current US$)",DT.DIS.BLTC.CD,"PPG, bilateral concessional (DIS, current US$)",,,
"IMF purchases (DIS, current US$)",DT.DIS.DIMF.CD,"IMF purchases (DIS, current US$)",,,
"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD,"Disbursements on external debt, long-term + IMF (DIS, current US$)",,,
"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,"Disbursements on external debt, long-term (DIS, current US$)",,,
"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",,,
"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",,,
IDA grants (current US$),DT.DIS.IDAG.CD,IDA grants (current US$),,,
"PPG, IBRD (DIS, current US$)",DT.DIS.MIBR.CD,"PPG, IBRD (DIS, current US$)",,,
"PPG, IDA (DIS, current US$)",DT.DIS.MIDA.CD,"PPG, IDA (DIS, current US$)",,,
"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,"PPG, multilateral (DIS, current US$)",,,
"PPG, multilateral concessional (DIS, current US$)",DT.DIS.MLTC.CD,"PPG, multilateral concessional (DIS, current US$)",,,
"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,"PPG, official creditors (DIS, current US$)",,,
"PPG, bonds (DIS, current US$)",DT.DIS.PBND.CD,"PPG, bonds (DIS, current US$)",,,
"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,"PPG, commercial banks (DIS, current US$)",,,
"PNG, bonds (DIS, current US$)",DT.DIS.PNGB.CD,"PNG, bonds (DIS, current US$)",,,
"PNG, commercial banks and other creditors (DIS, current US$)",DT.DIS.PNGC.CD,"PNG, commercial banks and other creditors (DIS, current US$)",,,
"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,"PPG, other private creditors (DIS, current US$)",,,
"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD,"PPG, private creditors (DIS, current US$)",,,
"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,"External debt stocks, concessional (DOD, current US$)",,,
Concessional debt (% of total external debt),DT.DOD.ALLC.ZS,Concessional debt (% of total external debt),,,
"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,"PPG, bilateral (DOD, current US$)",,,
"PPG, bilateral concessional (DOD, current US$)",DT.DOD.BLTC.CD,"PPG, bilateral concessional (DOD, current US$)",,,
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)",,,
Total change in external debt stocks (current US$),DT.DOD.DECT.CD.CG,Total change in external debt stocks (current US$),,,
"External debt stocks (% of exports of goods, services and primary income)",DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",,,
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),,,
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)",,,
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)",,,
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",,,
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",,,
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)",,,
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Short-term debt (% of total reserves),,,
"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS,"Short-term debt (% of exports of goods, services and primary income)",,,
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Short-term debt (% of total external debt),,,
Debt forgiveness grants (current US$),DT.DOD.MDRI.CD,Debt forgiveness grants (current US$),,,
"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)",,,
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)",,,
"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,"PPG, multilateral (DOD, current US$)",,,
Multilateral debt (% of total external debt),DT.DOD.MLAT.ZS,Multilateral debt (% of total external debt),,,
"PPG, multilateral concessional (DOD, current US$)",DT.DOD.MLTC.CD,"PPG, multilateral concessional (DOD, current US$)",,,
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)",,,
"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,"PPG, official creditors (DOD, current US$)",,,
"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,"PPG, bonds (DOD, current US$)",,,
"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,"PPG, commercial banks (DOD, current US$)",,,
"PNG, bonds (DOD, current US$)",DT.DOD.PNGB.CD,"PNG, bonds (DOD, current US$)",,,
"PNG, commercial banks and other creditors (DOD, current US$)",DT.DOD.PNGC.CD,"PNG, commercial banks and other creditors (DOD, current US$)",,,
"PPG, other private creditors (DOD, current US$)",DT.DOD.PROP.CD,"PPG, other private creditors (DOD, current US$)",,,
"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,"External debt stocks, long-term private sector (DOD, current US$)",,,
"PPG, private creditors (DOD, current US$)",DT.DOD.PRVT.CD,"PPG, private creditors (DOD, current US$)",,,
"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,"External debt stocks, long-term public sector (DOD, current US$)",,,
Present value of external debt (current US$),DT.DOD.PVLX.CD,Present value of external debt (current US$),,,
"Present value of external debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and primary income)",,,
Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,Present value of external debt (% of GNI),,,
"Residual, debt stock-flow reconciliation (current US$)",DT.DOD.RSDL.CD,"Residual, debt stock-flow reconciliation (current US$)",,,
"External debt stocks, variable rate (DOD, current US$)",DT.DOD.VTOT.CD,"External debt stocks, variable rate (DOD, current US$)",,,
Debt buyback (current US$),DT.DSB.DPPG.CD,Debt buyback (current US$),,,
Debt stock reduction (current US$),DT.DSF.DPPG.CD,Debt stock reduction (current US$),,,
Debt stock rescheduled (current US$),DT.DXR.DPPG.CD,Debt stock rescheduled (current US$),,,
Average grace period on new external debt commitments (years),DT.GPA.DPPG,Average grace period on new external debt commitments (years),,,
"Average grace period on new external debt commitments, official (years)",DT.GPA.OFFT,"Average grace period on new external debt commitments, official (years)",,,
"Average grace period on new external debt commitments, private (years)",DT.GPA.PRVT,"Average grace period on new external debt commitments, private (years)",,,
Average grant element on new external debt commitments (%),DT.GRE.DPPG,Average grant element on new external debt commitments (%),,,
"Average grant element on new external debt commitments, official (%)",DT.GRE.OFFT,"Average grant element on new external debt commitments, official (%)",,,
"Average grant element on new external debt commitments, private (%)",DT.GRE.PRVT,"Average grant element on new external debt commitments, private (%)",,,
Average interest on new external debt commitments (%),DT.INR.DPPG,Average interest on new external debt commitments (%),,,
"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,"Average interest on new external debt commitments, official (%)",,,
"Average interest on new external debt commitments, private (%)",DT.INR.PRVT,"Average interest on new external debt commitments, private (%)",,,
"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,"PPG, bilateral (INT, current US$)",,,
"PPG, bilateral concessional (INT, current US$)",DT.INT.BLTC.CD,"PPG, bilateral concessional (INT, current US$)",,,
"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,"Interest payments on external debt, total (INT, current US$)",,,
"Interest payments on external debt (% of exports of goods, services and primary income)",DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",,,
Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),,,
"IMF charges (INT, current US$)",DT.INT.DIMF.CD,"IMF charges (INT, current US$)",,,
"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,"Interest payments on external debt, long-term (INT, current US$)",,,
"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",,,
"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",,,
"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,"Interest payments on external debt, short-term (INT, current US$)",,,
"PPG, IBRD (INT, current US$)",DT.INT.MIBR.CD,"PPG, IBRD (INT, current US$)",,,
"PPG, IDA (INT, current US$)",DT.INT.MIDA.CD,"PPG, IDA (INT, current US$)",,,
"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD,"PPG, multilateral (INT, current US$)",,,
"PPG, multilateral concessional (INT, current US$)",DT.INT.MLTC.CD,"PPG, multilateral concessional (INT, current US$)",,,
"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,"PPG, official creditors (INT, current US$)",,,
"PPG, bonds (INT, current US$)",DT.INT.PBND.CD,"PPG, bonds (INT, current US$)",,,
"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD,"PPG, commercial banks (INT, current US$)",,,
"PNG, bonds (INT, current US$)",DT.INT.PNGB.CD,"PNG, bonds (INT, current US$)",,,
"PNG, commercial banks and other creditors (INT, current US$)",DT.INT.PNGC.CD,"PNG, commercial banks and other creditors (INT, current US$)",,,
"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD,"PPG, other private creditors (INT, current US$)",,,
"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD,"PPG, private creditors (INT, current US$)",,,
"Interest arrears, public and publicly guaranteed (current US$)",DT.IXA.DPPG.CD,"Interest arrears, public and publicly guaranteed (current US$)",,,
Net change in interest arrears (current US$),DT.IXA.DPPG.CD.CG,Net change in interest arrears (current US$),,,
"Interest arrears, official creditors (current US$)",DT.IXA.OFFT.CD,"Interest arrears, official creditors (current US$)",,,
"Interest arrears, private creditors (current US$)",DT.IXA.PRVT.CD,"Interest arrears, private creditors (current US$)",,,
Interest forgiven (current US$),DT.IXF.DPPG.CD,Interest forgiven (current US$),,,
Interest rescheduled (capitalized) (current US$),DT.IXR.DPPG.CD,Interest rescheduled (capitalized) (current US$),,,
"Interest rescheduled, official (current US$)",DT.IXR.OFFT.CD,"Interest rescheduled, official (current US$)",,,
"Interest rescheduled, private (current US$)",DT.IXR.PRVT.CD,"Interest rescheduled, private (current US$)",,,
Average maturity on new external debt commitments (years),DT.MAT.DPPG,Average maturity on new external debt commitments (years),,,
"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT,"Average maturity on new external debt commitments, official (years)",,,
"Average maturity on new external debt commitments, private (years)",DT.MAT.PRVT,"Average maturity on new external debt commitments, private (years)",,,
"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD,"Net financial flows, bilateral (NFL, current US$)",,,
"PPG, bilateral concessional (NFL, current US$)",DT.NFL.BLTC.CD,"PPG, bilateral concessional (NFL, current US$)",,,
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",,,
"Net flows on external debt, total (NFL, current US$)",DT.NFL.DECT.CD,"Net flows on external debt, total (NFL, current US$)",,,
"Net flows on external debt, long-term (NFL, current US$)",DT.NFL.DLXF.CD,"Net flows on external debt, long-term (NFL, current US$)",,,
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",,,
"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",,,
"Net flows on external debt, short-term (NFL, current US$)",DT.NFL.DSTC.CD,"Net flows on external debt, short-term (NFL, current US$)",,,
"Net official flows from UN agencies, IAEA (current US$)",DT.NFL.IAEA.CD,"Net official flows from UN agencies, IAEA (current US$)",,,
"Net official flows from UN agencies, IFAD (current US$)",DT.NFL.IFAD.CD,"Net official flows from UN agencies, IFAD (current US$)",,,
"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD,"Net financial flows, IMF concessional (NFL, current US$)",,,
"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",,,
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,"Net financial flows, IBRD (NFL, current US$)",,,
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,"Net financial flows, IDA (NFL, current US$)",,,
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,"Net financial flows, multilateral (NFL, current US$)",,,
"PPG, multilateral concessional (NFL, current US$)",DT.NFL.MLTC.CD,"PPG, multilateral concessional (NFL, current US$)",,,
"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,"Net financial flows, others (NFL, current US$)",,,
"EBRD, private nonguaranteed (NFL, current US$)",DT.NFL.NEBR.CD,"EBRD, private nonguaranteed (NFL, current US$)",,,
"IFC, private nonguaranteed (NFL, current US$)",DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, current US$)",,,
"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,"PPG, official creditors (NFL, current US$)",,,
"PPG, bonds (NFL, current US$)",DT.NFL.PBND.CD,"PPG, bonds (NFL, current US$)",,,
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,"PPG, commercial banks (NFL, current US$)",,,
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",,,
"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD,"PNG, bonds (NFL, current US$)",,,
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",,,
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,"PPG, other private creditors (NFL, current US$)",,,
"PPG, private creditors (NFL, current US$)",DT.NFL.PRVT.CD,"PPG, private creditors (NFL, current US$)",,,
"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD,"Net financial flows, RDB concessional (NFL, current US$)",,,
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,"Net financial flows, RDB nonconcessional (NFL, current US$)",,,
"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD,"Net official flows from UN agencies, UNAIDS (current US$)",,,
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,"Net official flows from UN agencies, UNICEF (current US$)",,,
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,"Net official flows from UN agencies, UNHCR (current US$)",,,
